dimension,processors,time
800,25,0.691144
800,100,0.778122
800,400,2.943080
2000,25,8.372763
2000,100,3.200911
2000,400,3.609475
4000,25,82.727112
4000,100,16.943196
4000,400,6.872268
6000,100,64.042029
6000,400,16.931221
8000,100,231.121003
8000,400,37.343715
