dimension,processors,time
800,25,1.388678
800,100,1.845281
800,400,5.645024
2000,25,10.824280
2000,100,6.735045
2000,400,6.691771
4000,25,74.881623
4000,100,30.053426
4000,400,35.206967
6000,100,67.677042
6000,400,41.524849
8000,100,308.341754
8000,400,54.119603

